,Unnamed: 0,sentence,time
0,0,ここは 寝室だよ,1522664624.92
1,1,寝室で飲み物をつかむ,1522664634.47
2,2,寝室で飲み物を握る,1522664645.45
3,3,寝室で飲み物を把持する,1522664661.93
4,4,寝室で飲み物を掴んだ,1522664680.39
5,5,ここは お風呂場だよ,1522664715.02
6,6,ここは お風呂,1522664719.08
7,7,お風呂の棚に置く,1522664729.76
8,8,お風呂の棚に設置する,1522664739.21
9,9,お風呂の棚に置く,1522664763.98
10,10,お風呂の棚に置いた,1522664772.25
11,0,ここは ドア前だよ,1522664896.55
12,1,ドア前でドアを開ける,1522664907.67
13,2,ドア前でドアを開く,1522664916.34
14,3,ドア前でドアを押し開く,1522664928.97
15,4,ここは 寝室だよ,1522664952.99
16,5,寝室で飲み物をつかむ,1522664960.13
17,6,寝室で飲み物を把持する,1522664975.32
18,7,寝室で飲み物を掴んだ,1522664988.12
19,8,ここは キッチンだよ,1522665013.54
20,9,キッチンだよ,1522665020.29
21,10,キッチンの机に置く,1522665029.24
22,11,キッチンの机に設置する,1522665036.1
23,12,キッチンの机に置いた,1522665044.77
24,13,キッチンの机に設置した,1522665054.15
25,0,ここは 寝室だよ,1522665360.61
26,1,寝室で ぬいぐるみをつかむ,1522665370.56
27,2,寝室で ぬいぐるみを握る,1522665378.51
28,3,寝室で ぬいぐるみを把持する,1522665387.77
29,4,寝室で ぬいぐるみを掴んだ,1522665396.65
30,5,ここは 寝室だよ,1522665406.45
31,6,ここはお風呂だよ,1522665443.84
32,7,ここは お風呂,1522665448.61
33,8,お風呂の棚にぬいぐるみを置く,1522665460.5
34,9,お風呂の棚に置く,1522665466.16
35,10,お風呂の棚に設置する,1522665473.29
36,11,お風呂の棚に置いた,1522665481.29
37,0,ここは ドア前だよ,1522665603.15
38,1,ドア前でドアを開ける,1522665616.55
39,2,ドア前でドアを開く,1522665623.81
40,3,ドア前でドアを押し開く,1522665630.64
41,4,ドア前でドアを開いた,1522665645.31
42,5,ここは 寝室だよ,1522665662.84
43,6,寝室で ぬいぐるみをつかむ,1522665670.29
44,7,寝室で ぬいぐるみを把持する,1522665677.69
45,8,寝室で ぬいぐるみに手を伸ばす,1522665685.47
46,9,寝室で ぬいぐるみを掴んだ,1522665692.84
47,10,寝室で ぬいぐるみをはじした,1522665702.17
48,11,ここは キッチンだよ,1522665734.99
49,12,キッチンの机に置く,1522665744.14
50,13,キッチンの棚に置く,1522665752.27
51,14,キッチンの棚に設置,1522665759.18
52,15,キッチンの棚に置いた,1522665769.12
53,16,キッチンの棚に設置,1522665779.02
54,0,ここは 寝室だよ,1522666262.44
55,1,寝室,1522666270.67
56,2,寝室で果物をつかむ,1522666283.04
57,3,寝室で果物を握る,1522666296.09
58,4,寝室で果物を把持する,1522666309.1
59,5,新イスで果物を掴んだ,1522666320.45
60,6,寝室で果物を握った,1522666344.5
61,7,ここは お風呂場だよ,1522666378.18
62,8,ここは お風呂,1522666383.21
63,9,お風呂の棚に置く,1522666393.39
64,10,お風呂の棚に設置する,1522666399.93
65,11,お風呂の棚に置く,1522666410.7
66,12,お風呂の棚に,1522666417.6
67,13,お風呂の棚に設置した,1522666427.26
68,0,ここは ドア前だよ,1522666566.38
69,1,ドア前でドアを開ける,1522666574.74
70,2,ドア前でドアを押す,1522666580.41
71,3,ドア前でドアを開く,1522666588.06
72,4,ドア前でドアを開ける,1522666596.77
73,5,ここは 寝室だよ,1522666615.26
74,6,寝室で果物をつかむ,1522666633.7
75,7,寝室で果物を把持する,1522666653.99
76,0,ここは ドア前だよ,1522666770.69
77,1,ドア前でドアを開ける,1522666778.85
78,2,ドア前でドアを開く,1522666790.42
79,3,ドア前でドアを押し開ける,1522666798.68
80,4,ここは 寝室だよ,1522666813.81
81,5,寝室で果物をつかむ,1522666835.97
82,6,寝室で果物を掴んだ,1522666861.14
83,7,ここは キッチンだよ,1522666931.85
84,8,キッチンの棚に物を置く,1522666942.9
85,9,キッチンの棚に置く,1522666948.45
86,10,キッチンの棚に設置,1522666953.5
87,11,キッチンの棚に設置した,1522666966.77
88,0,ここは 寝室だよ,1522667073.97
89,1,寝室で飲み物をつかむ,1522667082.31
90,2,寝室で飲み物を把持する,1522667090.8
91,3,寝室で飲み物を掴んだ,1522667099.28
92,4,寝室で飲み物をはじした,1522667107.52
93,5,ここはお風呂だよ,1522667143.67
94,6,ここは お風呂,1522667148.02
95,7,お風呂の棚に置く,1522667159.9
96,8,お風呂の棚に設置した,1522667169.64
97,9,お風呂の棚に置いた,1522667189.92
98,0,ここは ドア前だよ,1522667328.99
99,1,ドア前でドアを開ける,1522667336.67
100,2,ドア前でドアを開く,1522667347.93
101,3,ドア前でドアを押す,1522667357.66
102,4,ここは 寝室だよ,1522667380.25
103,5,寝室で飲み物をつかむ,1522667390.0
104,6,寝室で飲み物を握る,1522667400.42
105,7,寝室で飲み物を把持する,1522667408.1
106,8,寝室で飲み物を掴んだ,1522667417.65
107,9,ここは キッチンだよ,1522667441.83
108,10,キッチンの棚に置く,1522667451.95
109,11,キッチンの棚に設置する,1522667459.73
110,12,キッチンの棚に置く,1522667467.09
111,13,キッチンの棚に設置した,1522667477.89
112,14,キッチンの棚に置いた,1522667491.47
113,0,ここは 寝室だよ,1522667608.7
114,1,寝室で ぬいぐるみをつかむ,1522667616.59
115,2,寝室で ぬいぐるみを把持する,1522667625.36
116,3,寝室で ぬいぐるみを握る,1522667632.56
117,4,寝室で ぬいぐるみを掴んだ,1522667643.04
118,5,ここはお風呂だよ,1522667686.57
119,6,ここは お風呂,1522667692.92
120,7,お風呂の棚に置く,1522667700.8
121,8,お風呂の棚に設置する,1522667710.03
122,9,お風呂の棚に置いた,1522667719.51
123,10,お風呂の棚に置く,1522667727.66
124,11,お風呂の棚に置いた,1522667736.92
125,0,ここは ドア前だよ,1522667867.92
126,1,ドア前でドアを開ける,1522667878.66
127,2,ドア前でドアを開く,1522667889.73
128,3,ここは 寝室だよ,1522667911.47
129,4,ここは 寝室,1522667917.52
130,5,寝室で ぬいぐるみをつかむ,1522667926.74
131,6,寝室で ぬいぐるみを把持する,1522667936.23
132,7,寝室で ぬいぐるみを握る,1522667946.2
133,8,寝室で ぬいぐるみを掴んだ,1522667956.48
134,9,ここは キッチンだよ,1522667985.79
135,10,キッチンの棚に置く,1522667996.73
136,11,キッチンの机に置く,1522668003.89
137,12,キッチンの棚に設置する,1522668011.06
138,13,キッチンの棚に置いた,1522668018.85
139,0,ここは 寝室だよ,1522668142.22
140,1,寝室で果物をつかむ,1522668151.59
141,2,寝室で果物を握る,1522668159.72
142,3,寝室で果物を掴んだ,1522668170.2
143,4,寝室で果物を取った,1522668179.08
144,5,寝室で果物を握った,1522668187.96
145,6,ここはお風呂だよ,1522668228.18
146,7,ここは お風呂,1522668233.23
147,8,お風呂の棚に置く,1522668240.75
148,9,お風呂の棚に設置,1522668251.07
149,10,お風呂の棚に置いた,1522668262.45
150,11,お風呂の棚に設置した,1522668270.6
151,0,ここは ドア前だよ,1522668736.95
152,1,ドア前でドアを開ける,1522668749.57
153,2,ドア前でドアを開く,1522668759.13
154,3,ドア前でドアを押す,1522668768.6
155,4,ここは 寝室だよ,1522668794.07
156,5,寝室,1522668800.52
157,6,寝室で果物をつかむ,1522668814.28
158,7,寝室で果物を把持する,1522668829.77
159,8,寝室で果物に手を伸ばす,1522668842.95
160,9,寝室で果物を掴んだ,1522668852.72
161,10,ここは キッチンだよ,1522668890.48
162,11,キッチンの棚に置く,1522668895.94
163,12,キッチンの棚に設置する,1522668904.61
164,13,キッチンの棚に置く,1522668911.95
165,14,キッチンの棚に置いた,1522668919.51
